LnL	numparams	d	e	j	AIC	deltaAIC	AIC_weight
M1_DEC+J	-16.6743225608791	3	1e-12	1e-12	0.284576397806527	39.3486451217582	0	0.326879991904274
M2_DEC+J	-16.6743225608791	3	1e-12	1e-12	0.284576397806527	39.3486451217582	0	0.326879991904274
M3_DEC+J	-16.6743225608791	3	1e-12	1e-12	0.284576397806527	39.3486451217582	0	0.326879991904274
M1_DIVALIKE+J	-21.086209125179	3	1e-12	1e-12	0.115699830289864	48.172418250358	8.82377312859975	0.00396579580347279
M2_DIVALIKE+J	-21.086209125179	3	1e-12	1e-12	0.115699830289864	48.172418250358	8.82377312859975	0.00396579580347279
M3_DIVALIKE+J	-21.086209125179	3	1e-12	1e-12	0.115699830289864	48.172418250358	8.82377312859975	0.00396579580347279
M1_BAYAREALIKE+J	-21.5526503542706	3	1e-07	1e-07	0.108116873046466	49.1053007085412	9.75665558678293	0.00248746796832192
M2_BAYAREALIKE+J	-21.5526503542706	3	1e-07	1e-07	0.108116873046466	49.1053007085412	9.75665558678293	0.00248746796832192
M3_BAYAREALIKE+J	-21.5526503542706	3	1e-07	1e-07	0.108116873046466	49.1053007085412	9.75665558678293	0.00248746796832192
M1_DIVALIKE	-33.1496753780075	2	0.0447441571673681	1e-12	0	70.2993507560149	30.9507056342567	6.21624330570984e-08
M2_DIVALIKE	-33.1496753780075	2	0.0447441571673681	1e-12	0	70.2993507560149	30.9507056342567	6.21624330570984e-08
M3_DIVALIKE	-33.1496753780075	2	0.0447441571673681	1e-12	0	70.2993507560149	30.9507056342567	6.21624330570984e-08
M1_DEC	-34.5419575768824	2	0.0350454581425718	0.0283563183937611	0	73.0839151537648	33.7352700320065	1.54478316661845e-08
M2_DEC	-34.5419575768824	2	0.0350454581425718	0.0283563183937611	0	73.0839151537648	33.7352700320065	1.54478316661845e-08
M3_DEC	-34.5419575768824	2	0.0350454581425718	0.0283563183937611	0	73.0839151537648	33.7352700320065	1.54478316661845e-08
M1_BAYAREALIKE	-40.3370352885253	2	0.0173808549374242	0.304018769101633	0	84.6740705770505	45.3254254552923	4.69999348530103e-11
M2_BAYAREALIKE	-40.3370352885253	2	0.0173808549374242	0.304018769101633	0	84.6740705770505	45.3254254552923	4.69999348530103e-11
M3_BAYAREALIKE	-40.3370352885253	2	0.0173808549374242	0.304018769101633	0	84.6740705770505	45.3254254552923	4.69999348530103e-11
